"Product Name","Category","Sub-Category","total_revenue","total_profit","profit_margin_pct","total_units_sold"
"Konica Receipt Printer  Wireless","Technology","Machines","5020","806","16.05","44"
"BIC Markers  Water Color","Office Supplies","Art","2480","805","32.47","96"
"Enermax Flash Drive  Erganomic","Technology","Accessories","2368","803","33.93","77"
"Xerox 1908","Office Supplies","Paper","1713","799","46.67","32"
"Panasonic Receipt Printer  Red","Technology","Machines","3671","799","21.75","41"
"Motorola Office Telephone  Full Size","Technology","Phones","4742","792","16.69","88"
"Hon Swivel Stool  Set of Two","Furniture","Chairs","6834","792","11.58","56"
"Cameo Interoffice Envelope  Recycled","Office Supplies","Envelopes","2810","790","28.11","76"
"Rogers Shelving  Industrial","Office Supplies","Storage","5066","788","15.55","99"
"Enermax Keyboard  USB","Technology","Accessories","4610","787","17.06","72"
"Panasonic Receipt Printer  Durable","Technology","Machines","4260","787","18.47","46"
"Global Ergonomic Managers Chair","Furniture","Chairs","6009","785","13.07","39"
"Mitel MiVoice 5330e IP Phone","Technology","Phones","7700","781","10.14","34"
"Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors","Furniture","Bookcases","7540","780","10.35","35"
"Dania Library with Doors  Metal","Furniture","Bookcases","16911","780","4.61","63"
"Elite Trimmer  Serrated","Office Supplies","Supplies","2985","779","26.09","95"
"Fellowes Trays  Industrial","Office Supplies","Storage","5918","778","13.14","122"
"Cisco Signal Booster  with Caller ID","Technology","Phones","10693","777","7.27","94"
"GuestStacker Chair with Chrome Finish Legs","Furniture","Chairs","9071","773","8.52","31"
"Tenex Clock  Erganomic","Furniture","Furnishings","1961","769","39.22","45"
"Kleencut Letter Opener  Easy Grip","Office Supplies","Supplies","3192","769","24.08","141"
"Stanley Markers  Water Color","Office Supplies","Art","3701","768","20.76","172"
"Hon Chairmat  Adjustable","Furniture","Chairs","3707","765","20.64","79"
"Ikea Library with Doors  Mobile","Furniture","Bookcases","19259","764","3.97","67"
"Logitech Wireless Gaming Headset G930","Technology","Accessories","2880","763","26.50","21"
"Rubbermaid Frame  Duo Pack","Furniture","Furnishings","9833","761","7.73","102"
"GBC Ibimaster 500 Manual ProClick Binding System","Office Supplies","Binders","19025","761","4.00","48"
"Motorola Signal Booster  Full Size","Technology","Phones","7555","760","10.07","57"
"Xerox 1945","Office Supplies","Paper","1697","756","44.57","45"
"Plantronics S12 Corded Telephone Headset System","Technology","Accessories","2242","755","33.65","23"
"Ikea Corner Shelving  Pine","Furniture","Bookcases","4023","754","18.75","45"
"Staples","Office Supplies","Envelopes","1687","752","44.56","170"
"Global Executive Mid-Back Managers Chair","Furniture","Chairs","4627","751","16.23","18"
"Avery 3-Hole Punch  Durable","Office Supplies","Binders","2678","750","28.00","121"
"Ibico 3-Hole Punch  Clear","Office Supplies","Binders","2615","749","28.66","101"
"Bush Floating Shelf Set  Pine","Furniture","Bookcases","7631","748","9.80","58"
"Fiskars Letter Opener  Easy Grip","Office Supplies","Supplies","3207","748","23.33","139"
"Xerox 189","Office Supplies","Paper","1782","747","41.88","19"
"Memorex Numeric Keypad  Erganomic","Technology","Accessories","3332","745","22.37","94"
"Enermax Mouse  Bluetooth","Technology","Accessories","2701","741","27.45","81"
"SanDisk Flash Drive  Bluetooth","Technology","Accessories","2366","741","31.31","79"
"Nokia Headset  VoIP","Technology","Phones","3638","740","20.33","66"
"Hoover Blender  Silver","Office Supplies","Appliances","2215","737","33.28","24"
"Eldon Frame  Duo Pack","Furniture","Furnishings","5519","736","13.33","65"
"Ikea Classic Bookcase  Metal","Furniture","Bookcases","25055","736","2.94","80"
"Fellowes Box  Wire Frame","Office Supplies","Storage","2359","736","31.21","160"
"Fellowes Shelving  Blue","Office Supplies","Storage","3900","735","18.84","82"
"BIC Sketch Pad  Water Color","Office Supplies","Art","5271","735","13.94","118"
"SanDisk Numeric Keypad  USB","Technology","Accessories","3820","734","19.22","97"
"Wireless Extenders zBoost YX545 SOHO Signal Booster","Technology","Phones","4044","733","18.13","24"
"BIC Pencil Sharpener  Water Color","Office Supplies","Art","3483","732","21.03","127"
"Apple Headset  Cordless","Technology","Phones","5668","730","12.87","97"
"Xerox 1919","Office Supplies","Paper","1566","730","46.60","40"
"Cisco Speaker Phone  VoIP","Technology","Phones","6540","729","11.15","65"
"Logitech G19 Programmable Gaming Keyboard","Technology","Accessories","4389","729","16.61","36"
"HP Personal Copier  Color","Technology","Copiers","5190","729","14.04","57"
"NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router","Technology","Accessories","2624","723","27.56","18"
"Enermax Aurora Lite Keyboard","Technology","Accessories","1641","722","44.00","21"
"Memorex Keyboard  Programmable","Technology","Accessories","4783","722","15.10","89"
"Logitech Wireless Headset h800","Technology","Accessories","2800","720","25.71","32"
"Okidata Phone  Red","Technology","Machines","1995","720","36.08","25"
"Bush Library with Doors  Metal","Furniture","Bookcases","28517","719","2.52","88"
"Harbour Creations Bag Chairs  Red","Furniture","Chairs","3212","717","22.32","72"
"Hoover Shoulder Vac Commercial Portable Vacuum","Office Supplies","Appliances","5009","716","14.29","16"
"StarTech Card Printer  White","Technology","Machines","9275","714","7.70","72"
"Ibico 3-Hole Punch  Durable","Office Supplies","Binders","2706","712","26.33","96"
"Cameo Mailers  Recycled","Office Supplies","Envelopes","2389","711","29.75","69"
"Google Nexus 5","Technology","Phones","3816","711","18.63","23"
"Logitech Keyboard  Erganomic","Technology","Accessories","5662","710","12.54","93"
"Rubbermaid Clock  Black","Furniture","Furnishings","1826","710","38.87","50"
"Binney & Smith Highlighters  Water Color","Office Supplies","Art","2229","710","31.84","132"
"Motorola Headset  Full Size","Technology","Phones","4748","707","14.89","77"
"Dania Corner Shelving  Mobile","Furniture","Bookcases","5444","707","12.98","57"
"Dania 3-Shelf Cabinet  Traditional","Furniture","Bookcases","4789","706","14.75","41"
"Sanford Canvas  Blue","Office Supplies","Art","5300","706","13.32","128"
"Xerox 1941","Office Supplies","Paper","1741","705","40.48","19"
"Tenex Folders  Wire Frame","Office Supplies","Storage","2122","705","33.23","121"
"Eldon Clock  Erganomic","Furniture","Furnishings","1805","703","38.94","41"
"Panasonic Inkjet  Durable","Technology","Machines","8695","702","8.07","32"
"Apple Office Telephone  Full Size","Technology","Phones","4159","702","16.87","75"
"Global Leather Executive Chair","Furniture","Chairs","5862","702","11.98","21"
"Harbour Creations Steel Folding Chair  Adjustable","Furniture","Chairs","3938","701","17.80","52"
"Logitech G35 7.1-Channel Surround Sound Headset","Technology","Accessories","2158","699","32.41","17"
"Global Comet Stacking Arm Chair","Furniture","Chairs","6084","697","11.46","17"
"Hoover WindTunnel Plus Canister Vacuum","Office Supplies","Appliances","3051","697","22.86","9"
"BIC Canvas  Easy-Erase","Office Supplies","Art","3335","696","20.88","73"
"Logitech Memory Card  Programmable","Technology","Accessories","4013","695","17.32","53"
"Fellowes PB200 Plastic Comb Binding Machine","Office Supplies","Binders","4182","694","16.59","38"
"Economy Rollaway Files","Office Supplies","Storage","3139","694","22.11","20"
"Rogers Trays  Blue","Office Supplies","Storage","4655","693","14.89","94"
"Kleencut Shears  Steel","Office Supplies","Supplies","3459","689","19.91","96"
"Belkin Keyboard  USB","Technology","Accessories","3305","685","20.71","50"
"Sharp Ink  Color","Technology","Copiers","4162","685","16.46","44"
"Epson Receipt Printer  White","Technology","Machines","3878","684","17.63","41"
"Acme Letter Opener  Easy Grip","Office Supplies","Supplies","2363","683","28.91","84"
"GlobeWeis Mailers  Security-Tint","Office Supplies","Envelopes","2460","682","27.71","89"
"Motorola Office Telephone  VoIP","Technology","Phones","3598","681","18.92","70"
"Logitech Numeric Keypad  Erganomic","Technology","Accessories","2791","679","24.31","87"
"Boston Sketch Pad  Easy-Erase","Office Supplies","Art","4111","678","16.49","100"
"Logitech Gaming G510s - Keyboard","Technology","Accessories","2363","677","28.63","31"
"Dania Floating Shelf Set  Mobile","Furniture","Bookcases","5474","676","12.35","47"
"Hon Coffee Table  Adjustable Height","Furniture","Tables","2417","674","27.89","11"
"Novimex Swivel Stool  Black","Furniture","Chairs","16837","674","4.00","127"
"BIC Highlighters  Blue","Office Supplies","Art","2082","673","32.33","136"
"Okidata Phone  Wireless","Technology","Machines","1906","671","35.20","26"
"Eldon Clock  Black","Furniture","Furnishings","3052","671","22.00","66"
"Ibico Binding Machine  Economy","Office Supplies","Binders","5539","669","12.07","135"
"Office Star Rocking Chair  Set of Two","Furniture","Chairs","10711","668","6.24","101"
"Acme Shears  High Speed","Office Supplies","Supplies","2647","667","25.20","67"
"Xerox Cards & Envelopes  Premium","Office Supplies","Paper","2467","666","26.99","70"
"Stanley Markers  Fluorescent","Office Supplies","Art","2555","665","26.02","127"
"Sauder Library with Doors  Mobile","Furniture","Bookcases","11669","663","5.68","44"
"Hoover Toaster  Silver","Office Supplies","Appliances","2746","661","24.06","48"
"SanDisk Note Cards  Premium","Office Supplies","Paper","2466","659","26.73","108"
"Ames Interoffice Envelope  Security-Tint","Office Supplies","Envelopes","2840","657","23.12","76"
"Enermax Flash Drive  USB","Technology","Accessories","2515","657","26.12","69"
"Jabra SPEAK 410","Technology","Phones","3158","654","20.71","37"
"Bush Floating Shelf Set  Traditional","Furniture","Bookcases","4806","654","13.60","37"
"Green Bar Memo Slips  8.5 x 11","Office Supplies","Paper","1550","653","42.13","83"
"Boston Markers  Blue","Office Supplies","Art","2917","652","22.34","137"
"Bush Corner Shelving  Traditional","Furniture","Bookcases","5044","650","12.88","58"
"Cisco SPA525G2 5-Line IP Phone","Technology","Machines","1380","649","47.00","8"
"Cardinal 3-Hole Punch  Clear","Office Supplies","Binders","3232","649","20.09","131"
"Barricks Wood Table  Rectangular","Furniture","Tables","2603","648","24.90","6"
"Stanley Pencil Sharpener  Fluorescent","Office Supplies","Art","2722","645","23.70","127"
"Fellowes Trays  Wire Frame","Office Supplies","Storage","5909","644","10.91","124"
"Binney & Smith Canvas  Easy-Erase","Office Supplies","Art","4097","643","15.69","91"
"BIC Sketch Pad  Fluorescent","Office Supplies","Art","2302","642","27.88","52"
"Brother Fax and Copier  Laser","Technology","Copiers","10112","641","6.34","69"
"Hoover Toaster  White","Office Supplies","Appliances","2848","641","22.52","42"
"Memorex Keyboard  Erganomic","Technology","Accessories","3579","640","17.89","63"
"Brother Personal Copier  Laser","Technology","Copiers","5835","640","10.97","52"
"Logitech Numeric Keypad  USB","Technology","Accessories","2308","639","27.68","64"
"Acme Box Cutter  High Speed","Office Supplies","Supplies","1959","636","32.48","66"
"Hamilton Beach Stove  White","Office Supplies","Appliances","21331","636","2.98","51"
"Breville Coffee Grinder  Black","Office Supplies","Appliances","2435","635","26.08","45"
"Microsoft Sculpt Comfort Mouse","Technology","Accessories","1574","634","40.30","42"
"Binney & Smith Pens  Water Color","Office Supplies","Art","1912","632","33.06","151"
"Cameo Buff Policy Envelopes","Office Supplies","Envelopes","1556","632","40.64","28"
"Nokia Audio Dock  Cordless","Technology","Phones","5896","630","10.69","46"
"Enermax Acrylux Wireless Keyboard","Technology","Accessories","2450","630","25.73","29"
"StarTech Card Printer  Red","Technology","Machines","5334","630","11.80","35"
"Memorex Router  USB","Technology","Accessories","19607","629","3.21","99"
"Electrix Architects Clamp-On Swing Arm Lamp  Black","Furniture","Furnishings","2864","627","21.90","33"
"SanDisk Keyboard  Programmable","Technology","Accessories","6192","626","10.11","104"
"Panasonic Card Printer  Wireless","Technology","Machines","3129","624","19.94","21"
"NETGEAR N750 Dual Band Wi-Fi Gigabit Router","Technology","Accessories","1890","623","32.95","22"
"SanDisk Note Cards  Multicolor","Office Supplies","Paper","2423","622","25.66","80"
"Elite Trimmer  Easy Grip","Office Supplies","Supplies","2544","622","24.45","82"
"KitchenAid Blender  Black","Office Supplies","Appliances","3593","619","17.22","50"
"Xerox 1893","Office Supplies","Paper","1435","619","43.17","39"
"Novimex Chairmat  Black","Furniture","Chairs","3214","618","19.23","77"
"Binney & Smith Sketch Pad  Blue","Office Supplies","Art","6740","618","9.18","185"
"Nokia Audio Dock  Full Size","Technology","Phones","7602","617","8.11","57"
"Acme Trimmer  High Speed","Office Supplies","Supplies","2437","614","25.20","63"
"Cisco Office Telephone  Cordless","Technology","Phones","3782","613","16.22","53"
"Cameo Manila Envelope  Security-Tint","Office Supplies","Envelopes","1609","613","38.09","62"
"Stanley Sketch Pad  Water Color","Office Supplies","Art","3223","611","18.94","80"
"Smead Lockers  Blue","Office Supplies","Storage","24776","610","2.46","158"
"Harbour Creations Swivel Stool  Red","Furniture","Chairs","16865","610","3.62","135"
"Cisco Office Telephone  Full Size","Technology","Phones","3720","609","16.37","55"
"Binney & Smith Canvas  Fluorescent","Office Supplies","Art","5102","608","11.91","122"
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base  43w x 30d x 30-37h  Black","Furniture","Tables","3739","608","16.26","14"
"KitchenAid Toaster  Red","Office Supplies","Appliances","2136","608","28.47","31"
"SAFCO Bag Chairs  Set of Two","Furniture","Chairs","2268","607","26.74","61"
"Binney & Smith Markers  Easy-Erase","Office Supplies","Art","2216","606","27.36","111"
"Kraft Interoffice Envelope  Security-Tint","Office Supplies","Envelopes","2706","605","22.36","69"
"Panasonic Calculator  Red","Technology","Machines","2073","604","29.16","48"
"Novimex Rocking Chair  Adjustable","Furniture","Chairs","6888","603","8.76","78"
"Ames Manila Envelope  Security-Tint","Office Supplies","Envelopes","2012","602","29.93","90"
"Breville Microwave  Black","Office Supplies","Appliances","3885","602","15.50","20"
"Brother Ink  High-Speed","Technology","Copiers","5380","602","11.19","48"
"Sanford Pencil Sharpener  Water Color","Office Supplies","Art","5582","602","10.78","259"
"Tenex Shelving  Single Width","Office Supplies","Storage","4398","600","13.64","97"
"Eldon Trays  Wire Frame","Office Supplies","Storage","5086","599","11.78","148"
"Ikea 3-Shelf Cabinet  Mobile","Furniture","Bookcases","6625","599","9.04","63"
"Enermax Note Cards  8.5 x 11","Office Supplies","Paper","2278","599","26.28","100"
"SanDisk Memory Card  USB","Technology","Accessories","2932","596","20.33","35"
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting  Black/Silver","Technology","Phones","1980","594","30.00","12"
"Xiaomi Mi3","Technology","Phones","2280","593","26.00","4"
"Belkin Flash Drive  USB","Technology","Accessories","2186","592","27.08","66"
"BIC Markers  Easy-Erase","Office Supplies","Art","3144","591","18.80","134"
"Fellowes Lockers  Single Width","Office Supplies","Storage","22091","589","2.66","132"
"Ikea Floating Shelf Set  Pine","Furniture","Bookcases","8920","589","6.61","68"
"Tenex Clock  Duo Pack","Furniture","Furnishings","2518","588","23.36","67"
"Plantronics Audio 995 Wireless Stereo Headset","Technology","Accessories","1913","587","30.69","18"
"Lesro Round Table  Rectangular","Furniture","Tables","10707","585","5.47","38"
"Stiletto Trimmer  Easy Grip","Office Supplies","Supplies","1803","582","32.28","46"
"Tenex Trays  Blue","Office Supplies","Storage","4922","581","11.81","115"
"BIC Pencil Sharpener  Fluorescent","Office Supplies","Art","2572","581","22.59","93"
"Green Bar Parchment Paper  8.5 x 11","Office Supplies","Paper","1457","580","39.77","76"
"Memorex Memory Card  USB","Technology","Accessories","3894","580","14.90","56"
"Deflect-O Door Stop  Durable","Furniture","Furnishings","1975","579","29.30","55"
"1.7 Cubic Foot Compact Cube Office Refrigerators","Office Supplies","Appliances","2706","579","21.38","14"
"Smead Trays  Single Width","Office Supplies","Storage","4382","578","13.20","126"
"Pyle PMP37LED","Technology","Phones","3590","577","16.07","43"
"Hoover Coffee Grinder  Black","Office Supplies","Appliances","1409","577","40.95","23"
"Aastra 57i VoIP phone","Technology","Phones","3685","575","15.61","26"
"Xerox 1917","Office Supplies","Paper","1223","575","47.00","25"
"Deflect-O Clock  Erganomic","Furniture","Furnishings","2854","575","20.15","74"
"Global Airflow Leather Mesh Back Chair  Black","Furniture","Chairs","3956","574","14.50","32"
"GlobeWeis Mailers  Recycled","Office Supplies","Envelopes","2209","573","25.96","77"
"Enermax Note Cards  Premium","Office Supplies","Paper","3941","573","14.55","171"
"Enermax Memory Card  USB","Technology","Accessories","10525","572","5.44","120"
"Digium D40 VoIP phone","Technology","Phones","3044","571","18.77","27"
"Tyvek Side-Opening Peel & Seel Expanding Envelopes","Office Supplies","Envelopes","1267","570","45.00","14"
"3M Polarizing Task Lamp with Clamp Arm  Light Gray","Furniture","Furnishings","2192","570","26.00","16"
"GBC DocuBind P50 Personal Binding Machine","Office Supplies","Binders","2265","569","25.14","50"
"Logitech Flash Drive  USB","Technology","Accessories","2156","568","26.34","85"
"Canon Personal Copier  Color","Technology","Copiers","7056","567","8.04","63"
"OSullivan 2-Door Barrister Bookcase in Odessa Pine","Furniture","Bookcases","4886","566","11.59","31"
"Stockwell Clamps  Assorted Sizes","Office Supplies","Fasteners","2134","565","26.49","160"
"Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center","Office Supplies","Appliances","2491","564","22.63","21"
"Nokia Speaker Phone  with Caller ID","Technology","Phones","6522","564","8.64","64"
"GBC ProClick Punch Binding System","Office Supplies","Binders","1574","562","35.73","31"
"Konica Inkjet  Durable","Technology","Machines","5301","561","10.58","19"
"Apple Signal Booster  VoIP","Technology","Phones","6336","560","8.83","52"
"Ames Color-File Green Diamond Border X-ray Mailers","Office Supplies","Envelopes","1360","559","41.11","18"
"Deflect-O Door Stop  Erganomic","Furniture","Furnishings","2500","558","22.32","76"
"Eldon Door Stop  Durable","Furniture","Furnishings","2692","557","20.70","70"
"Cardinal Index Tab  Clear","Office Supplies","Binders","1923","556","28.93","337"
"Safco 3-Shelf Cabinet  Traditional","Furniture","Bookcases","7260","555","7.65","57"
"Logitech Wireless Marathon Mouse M705","Technology","Accessories","1410","555","39.36","30"
"Tenex Photo Frame  Duo Pack","Furniture","Furnishings","2215","555","25.04","57"
"Novimex Swivel Stool  Adjustable","Furniture","Chairs","10528","554","5.27","77"
"Memorex Memory Card  Programmable","Technology","Accessories","4841","552","11.41","62"
"Dania Library with Doors  Mobile","Furniture","Bookcases","14971","552","3.69","56"
"Honeywell Quietcare HEPA Air Cleaner","Office Supplies","Appliances","1762","550","31.21","23"
"White Computer Printout Paper by Universal","Office Supplies","Paper","1279","548","42.82","37"
"BlackBerry Q10","Technology","Phones","3099","548","17.68","27"
"Bevis Round Table  Fully Assembled","Furniture","Tables","3395","547","16.12","12"
"KitchenAid Coffee Grinder  White","Office Supplies","Appliances","1962","546","27.81","33"
"Xerox 1891","Office Supplies","Paper","1321","543","41.11","30"
"Bevis Wood Table  Adjustable Height","Furniture","Tables","2608","543","20.82","8"
"Motorola Speaker Phone  with Caller ID","Technology","Phones","4031","543","13.46","50"
"Hon Non-Folding Utility Tables","Furniture","Tables","3776","542","14.35","29"
"Logitech G600 MMO Gaming Mouse","Technology","Accessories","1616","541","33.47","21"
"KitchenAid Coffee Grinder  Red","Office Supplies","Appliances","2071","541","26.12","32"
"Wi-Ex zBoost YX540 Cellular Phone Signal Booster","Technology","Phones","2481","540","21.76","19"
"Logitech Keyboard  Bluetooth","Technology","Accessories","2757","540","19.57","54"
"Xerox 1888","Office Supplies","Paper","1232","539","43.78","24"
"Eldon Trays  Blue","Office Supplies","Storage","2771","539","19.44","69"
"24 Capacity Maxi Data Binder Racks  Pearl","Office Supplies","Storage","3537","537","15.18","19"
"Logitech 910-002974 M325 Wireless Mouse for Web Scrolling","Technology","Accessories","1410","536","38.04","52"
"Konica Calculator  Wireless","Technology","Machines","1724","535","31.02","46"
"Tenex Clock  Durable","Furniture","Furnishings","2625","535","20.39","87"
"Sharp Ink  Digital","Technology","Copiers","3721","535","14.38","35"
"Panasonic Phone  Durable","Technology","Machines","2257","533","23.61","32"
"Jiffy Mailers  with clear poly window","Office Supplies","Envelopes","2006","531","26.45","66"
"KitchenAid Toaster  Silver","Office Supplies","Appliances","1724","531","30.80","24"
"Canon Ink  High-Speed","Technology","Copiers","4448","531","11.93","37"
"Cardinal 3-Hole Punch  Recycled","Office Supplies","Binders","3546","530","14.93","147"
"BIC Pencil Sharpener  Blue","Office Supplies","Art","2949","530","17.96","129"
"Tenex Shelving  Industrial","Office Supplies","Storage","6049","529","8.74","144"
"Cardinal Binding Machine  Recycled","Office Supplies","Binders","4270","528","12.36","112"
"Hon Bag Chairs  Red","Furniture","Chairs","2774","526","18.95","80"
"Xerox 1934","Office Supplies","Paper","1097","526","47.96","20"
"Avery 4027 File Folder Labels for Dot Matrix Printers  5000 Labels per Box  White","Office Supplies","Labels","1233","525","42.52","43"
"Acco Binder  Durable","Office Supplies","Binders","1864","525","28.18","137"
"Enermax Numeric Keypad  Erganomic","Technology","Accessories","3906","524","13.42","82"
"Tenex Frame  Durable","Furniture","Furnishings","4304","521","12.11","52"
"Novimex Steel Folding Chair  Black","Furniture","Chairs","6471","519","8.03","113"
"Safco Corner Shelving  Pine","Furniture","Bookcases","3270","519","15.87","27"
"Avery 3-Hole Punch  Economy","Office Supplies","Binders","1601","519","32.44","71"
"Polycom SoundStation2 EX Conference phone","Technology","Phones","3969","518","13.06","12"
"Ibico 3-Hole Punch  Economy","Office Supplies","Binders","1763","516","29.27","82"
"Wilson Electronics DB Pro Signal Booster","Technology","Phones","8878","516","5.81","32"
"Logitech Illuminated - Keyboard","Technology","Accessories","1140","516","45.26","20"
"Plantronics Audio 478 Stereo USB Headset","Technology","Accessories","1620","515","31.79","34"
"Logitech G602 Wireless Gaming Mouse","Technology","Accessories","2000","515","25.76","29"
"Global Comet Stacking Armless Chair","Furniture","Chairs","3529","514","14.58","14"
"Panasonic Receipt Printer  White","Technology","Machines","4323","514","11.88","42"
"Airmail Envelopes","Office Supplies","Envelopes","1360","514","37.84","19"
"Acco Binding Machine  Clear","Office Supplies","Binders","5871","513","8.74","144"
"Apple iPhone 5S","Technology","Phones","4902","513","10.47","11"
"Fellowes Staxonsteel Drawer Files","Office Supplies","Storage","4829","510","10.56","26"
"Zebra GX420t Direct Thermal/Thermal Transfer Printer","Technology","Machines","5787","510","8.81","14"
"KitchenAid Toaster  Black","Office Supplies","Appliances","2939","510","17.34","39"
"StarTech Phone  Red","Technology","Machines","1443","508","35.20","24"
"Deflect-O Clock  Duo Pack","Furniture","Furnishings","2556","508","19.86","58"
"Hamilton Beach Coffee Grinder  Red","Office Supplies","Appliances","2193","508","23.17","62"
"HP Personal Copier  Digital","Technology","Copiers","7153","507","7.09","64"
"Plantronics Calisto P620-M USB Wireless Speakerphone System","Technology","Phones","2509","506","20.16","14"
"BIC Pens  Water Color","Office Supplies","Art","1895","505","26.64","131"
"Bush 3-Shelf Cabinet  Pine","Furniture","Bookcases","3237","505","15.61","29"
"Sanford Markers  Fluorescent","Office Supplies","Art","2167","505","23.29","108"
"GlobeWeis Interoffice Envelope  Recycled","Office Supplies","Envelopes","2015","503","24.98","58"
"Avery Binder Covers  Recycled","Office Supplies","Binders","1477","501","33.92","163"
"Global Fabric Managers Chair  Dark Gray","Furniture","Chairs","3151","500","15.87","35"
"Tenex Door Stop  Duo Pack","Furniture","Furnishings","2150","500","23.26","54"
"WD My Passport Ultra 2TB Portable External Hard Drive","Technology","Accessories","3998","500","12.50","35"
"Hon Mobius Operators Chair","Furniture","Chairs","2706","499","18.45","23"
"Xerox 1906","Office Supplies","Paper","1099","498","45.29","32"
"Cuisinart Refrigerator  Silver","Office Supplies","Appliances","10814","498","4.61","28"
"Logitech Wireless Performance Mouse MX for PC and Mac","Technology","Accessories","1800","498","27.67","21"
"Enermax Mouse  Erganomic","Technology","Accessories","2616","497","19.02","79"
"Stockwell Rubber Bands  Metal","Office Supplies","Fasteners","1709","496","29.01","129"
"Bush Corner Shelving  Metal","Furniture","Bookcases","6008","496","8.26","69"
"Stanley Pencil Sharpener  Easy-Erase","Office Supplies","Art","1741","496","28.49","84"
"Boston Canvas  Easy-Erase","Office Supplies","Art","4175","495","11.87","97"
"Binney & Smith Markers  Water Color","Office Supplies","Art","2905","494","17.00","126"
"Global Managers Adjustable Task Chair  Storm","Furniture","Chairs","2959","494","16.68","23"
"GBC DocuBind 300 Electric Binding Machine","Office Supplies","Binders","6785","494","7.29","23"
"Eaton Premium Continuous-Feed Paper  25% Cotton  Letter Size  White  1000 Shts/Box","Office Supplies","Paper","1099","493","44.85","21"
"Eaton Message Books  Multicolor","Office Supplies","Paper","1416","493","34.80","77"
"Rubbermaid Door Stop  Erganomic","Furniture","Furnishings","1553","493","31.73","43"
"Accos Clamps  Bulk Pack","Office Supplies","Fasteners","1318","491","37.24","76"
"GBC DocuBind P100 Manual Binding Machine","Office Supplies","Binders","2954","490","16.57","27"
"Tenex Photo Frame  Black","Furniture","Furnishings","2037","490","24.07","46"
"Safco Floating Shelf Set  Pine","Furniture","Bookcases","11624","487","4.19","73"
"DMI Arturo Collection Mission-style Design Wood Chair","Furniture","Chairs","4620","486","10.52","37"
"Logitech Flash Drive  Bluetooth","Technology","Accessories","1650","486","29.45","66"
"Fellowes Mobile File Cart  Black","Office Supplies","Storage","2301","485","21.08","40"
"Advantus Clock  Black","Furniture","Furnishings","2685","484","18.04","70"
"Wilson Jones Binder Covers  Durable","Office Supplies","Binders","1328","484","36.48","124"
"SAFCO Chairmat  Red","Furniture","Chairs","3515","483","13.73","80"
"Aastra 6757i CT Wireless VoIP phone","Technology","Phones","2930","483","16.47","16"
"Eaton Cards & Envelopes  Multicolor","Office Supplies","Paper","1824","483","26.49","45"
"Green Bar Cards & Envelopes  8.5 x 11","Office Supplies","Paper","3898","482","12.36","90"
"Stanley Highlighters  Water Color","Office Supplies","Art","1613","480","29.74","98"
"Razer Kraken PRO Over Ear PC and Music Headset","Technology","Accessories","2160","480","22.22","30"
"VTech DS6151","Technology","Phones","2747","479","17.43","25"
"Sanford Pencil Sharpener  Fluorescent","Office Supplies","Art","2265","477","21.08","113"
"Xerox Note Cards  Premium","Office Supplies","Paper","2185","477","21.85","93"
"Avanti 1.7 Cu. Ft. Refrigerator","Office Supplies","Appliances","2222","477","21.45","24"
"Kraft Interoffice Envelope  with clear poly window","Office Supplies","Envelopes","1712","476","27.81","48"
"Deflect-O Door Stop  Duo Pack","Furniture","Furnishings","1788","475","26.58","50"
"SAFCO Steel Folding Chair  Black","Furniture","Chairs","3228","475","14.71","54"
"Fiskars Box Cutter  Steel","Office Supplies","Supplies","1972","475","24.08","69"
"AT&T CL83451 4-Handset Telephone","Technology","Phones","1936","474","24.47","10"
"Hon Computer Table  with Bottom Storage","Furniture","Tables","5043","474","9.41","12"
"Fellowes Super Stor/Drawer Files","Office Supplies","Storage","4006","473","11.81","27"
"Cisco Office Telephone  VoIP","Technology","Phones","4421","472","10.68","93"
"Green Bar Note Cards  Multicolor","Office Supplies","Paper","2358","471","19.96","86"
"Cisco Speaker Phone  Full Size","Technology","Phones","7064","469","6.64","65"
"Motorola L703CM","Technology","Phones","4212","468","11.11","32"
"Logitech Flash Drive  Programmable","Technology","Accessories","1848","467","25.24","71"
"Motorola Audio Dock  Cordless","Technology","Phones","9623","466","4.84","76"
"Logitech Mouse  Bluetooth","Technology","Accessories","2211","466","21.09","90"
"Cisco 9971 IP Video Phone Charcoal","Technology","Machines","4268","466","10.93","16"
"Eaton Message Books  8.5 x 11","Office Supplies","Paper","1262","465","36.88","61"
"Bush Floating Shelf Set  Metal","Furniture","Bookcases","7696","465","6.04","58"
"Binney & Smith Markers  Fluorescent","Office Supplies","Art","2664","465","17.47","118"
"DYMO CardScan Personal V9 Business Card Scanner","Technology","Machines","1344","464","34.52","11"
"GlobeWeis Manila Envelope  Set of 50","Office Supplies","Envelopes","2204","464","21.05","96"
"Stiletto Shears  Easy Grip","Office Supplies","Supplies","1915","462","24.10","43"
"Harbour Creations Bag Chairs  Set of Two","Furniture","Chairs","2422","462","19.07","51"
